Job title ,Hiring Company,Comapny Address,Shift,Links
Marketing Specialist,BioGroup,"New Cairo, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/warg7upxhsWQ-Marketing-Specialist-BioGroup-Cairo-Egypt?o=99&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Pharmacist - Cairo,Dawaa Pharmacy,"New Cairo, Cairo, Egypt ",Shift based,https://wuzzuf.net/jobs/p/3GjG9ngkBTWQ-Pharmacist---Cairo-Dawaa-Pharmacy-Cairo-Egypt?o=100&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Sales Operations Manager,Selah ElTelmeez For publishing & printing,"Downtown, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/qDwOgQ7sRAsO-Sales-Operations-Manager-Selah-ElTelmeez-For-publishing-printing-Cairo-Egypt?o=101&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Internal Auditor,Delta Pharma Egypt,"Heliopolis, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/vOkzwGCc9Zpf-Internal-Auditor-Delta-Pharma-Egypt-Cairo-Egypt?o=102&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Senior Sales Representative,Confidential -,"Mohandessin, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/SjWSPBUKR3m5-Senior-Sales-Representative-Giza-Egypt?o=103&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Marketing Head,Confidential -,"Maadi, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/Btg0aNbzsEhq-Marketing-Head-Cairo-Egypt?o=104&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Marketing Representative (Raw Material) - Alexandria,Pharmaceutical Egyptian Association,"Ameria, Alexandria, Egypt ",Full time,https://wuzzuf.net/jobs/p/2WcQ3I5RnAe0-Marketing-Representative-Raw-Material---Alexandria-Pharmaceutical-Egyptian-Association-Alexandria-Egypt?o=105&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Distribution Officer,Pharma Mix,"Mohandessin, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/Hw9qQawaOHXf-Distribution-Officer-Pharma-Mix-Giza-Egypt?o=106&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
District Sales Manager - Alexandria,Confidential -,"Agami, Alexandria, Egypt ",Full time,https://wuzzuf.net/jobs/p/hnxMfC4nlyRA-District-Sales-Manager---Alexandria-Alexandria-Egypt?o=107&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Project Officer,Caduceus Lane,"Alexandria, Egypt ",Full time,https://wuzzuf.net/jobs/p/JWFT7WsSTQre-Medical-Project-Officer-Caduceus-Lane-Alexandria-Egypt?o=108&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Marketing Representative - Pharma (Raw Material ),Pharmaceutical Egyptian Association,"Heliopolis, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/YhzdDD26AGiF-Marketing-Representative---Pharma-Raw-Material-Pharmaceutical-Egyptian-Association-Cairo-Egypt?o=109&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Product Specialist - Pharma,Confidential -,"Downtown, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/3dW1FxPJZOiI-Product-Specialist---Pharma-Cairo-Egypt?o=110&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Planning Material Specialist,Al Andalous Pharmaceutical Industries,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/UderndEF2szh-Planning-Material-Specialist-Al-Andalous-Pharmaceutical-Industries-Giza-Egypt?o=111&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Senior Recruitment Specialist,Confidential -,"New Cairo, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/Zmcwuvu2dTfI-Senior-Recruitment-Specialist-Cairo-Egypt?o=112&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Pharmacist,Confidential -,"Maadi, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/umdKOobhLdoa-Pharmacist-Cairo-Egypt?o=113&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Procurement Specialist (In-active Raw Materials),Al Andalous Pharmaceutical Industries,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/mgYbJodMhOMF-Procurement-Specialist-In-active-Raw-Materials-Al-Andalous-Pharmaceutical-Industries-Giza-Egypt?o=114&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Representative,E3mel Business for Financial & Managerial Consultancy,"Maadi, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/pcBAZGss3vCw-Medical-Representative-E3mel-Business-for-Financial-Managerial-Consultancy-Cairo-Egypt?o=115&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Quality Manager,Egyptian French Company for Plants Tissue Culture S.A.E,"Obour City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/a9GDHKAumiKZ-Quality-Manager-Egyptian-French-Company-for-Plants-Tissue-Culture-S-A-E-Cairo-Egypt?o=116&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Fragrance Quality Control Manager - Cairo,Elite for trading and distribution (ETD),"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/6GdxxWDfyT2r-Fragrance-Quality-Control-Manager---Cairo-Elite-for-trading-and-distribution-ETD-Cairo-Egypt?o=117&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Sales Manager,Caduceus Lane,"Alexandria, Egypt ",Full time,https://wuzzuf.net/jobs/p/ojjhQCNaIj5q-Sales-Manager-Caduceus-Lane-Alexandria-Egypt?o=118&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Approval Officer (Pharmacist),Misr Elkheir Foundation,"Mokattam, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/NB71ot63Mbqu-Medical-Approval-Officer-Pharmacist-Misr-Elkheir-Foundation-Cairo-Egypt?o=119&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
OD & Recruitment Senior Specialist,Yolo Cosmetics,"New Nozha, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/SZm6yvlH2nn9-OD-Recruitment-Senior-Specialist-Yolo-Cosmetics-Cairo-Egypt?o=120&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Outdoor Sales Representative - Dekrnes -Dakhalia,dkt Egypt,"Dekernes, Dakahlia, Egypt ",Full time,https://wuzzuf.net/jobs/p/bbJlEmeXn8Rj-Outdoor-Sales-Representative---Dekrnes--Dakhalia-dkt-Egypt-Dakahlia-Egypt?o=121&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
IPC Specialist -Alexandria,Pharaonia Pharma,"Bourj Alarab, Alexandria, Egypt ",Full time,https://wuzzuf.net/jobs/p/229LTfKLkgfo-IPC-Specialist--Alexandria-Pharaonia-Pharma-Alexandria-Egypt?o=122&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Sales Pharmacist,EL Okaby Compounding Pharmacies,"Nasr City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/lZ3Z1gYdHdOW-Sales-Pharmacist-EL-Okaby-Compounding-Pharmacies-Cairo-Egypt?o=123&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Regulatory Affairs Specialist,Zeta Pharma,"Nasr City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/PzBaBIGQwT12-Regulatory-Affairs-Specialist-Zeta-Pharma-Cairo-Egypt?o=124&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Regulatory Affairs Manager,Medisave Pharmaceuticals,"New Cairo, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/pLc4GDsYmvne-Regulatory-Affairs-Manager-Medisave-Pharmaceuticals-Cairo-Egypt?o=125&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Sales Representative,Sky Medical for Medical Devices,"Mohandessin, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/S04BMXBiYO2X-Sales-Representative-Sky-Medical-for-Medical-Devices-Giza-Egypt?o=126&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
QC Senior Documentation Specialist,Al Andalous Pharmaceutical Industries,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/AqcQksqA2UKn-QC-Senior-Documentation-Specialist-Al-Andalous-Pharmaceutical-Industries-Giza-Egypt?o=127&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Product Specialist (Medical Disposables) - Giza,Elegant Care Group,"Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/fQbPDCbMJEUK-Product-Specialist-Medical-Disposables---Giza-Elegant-Care-Group-Giza-Egypt?o=128&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Representative (Downtown),So Value Pharma,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/sHNQddutn5dw-Medical-Representative-Downtown-So-Value-Pharma-Cairo-Egypt?o=129&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Representative (Abbasia & Hadik ),So Value Pharma,"Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/Ysj5rrMMclgZ-Medical-Representative-Abbasia-Hadik-So-Value-Pharma-Giza-Egypt?o=130&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Mechanical Maintenance Section Head / Cairo,ShadyPack,"10th of Ramadan City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/N5Yf89pZ1NEV-Mechanical-Maintenance-Section-Head-Cairo-ShadyPack-Cairo-Egypt?o=131&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Senior Marketing Specialist,Confidential -,"Heliopolis, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/eIaOvxbQLWAu-Senior-Marketing-Specialist-Cairo-Egypt?o=132&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Marketing Manager,Confidential -,"Maadi, Cairo, Egypt ",Work from home,https://wuzzuf.net/jobs/p/2QYMKr8f3TvT-Marketing-Manager-Cairo-Egypt?o=133&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Sales Manager,Korashi Group,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/DWUQWGha8NID-Sales-Manager-Korashi-Group-Giza-Egypt?o=134&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Sales Coordinator - Pharmacist,Optimarc pharma,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/AOjJEdYAoMsU-Sales-Coordinator---Pharmacist-Optimarc-pharma-Cairo-Egypt?o=135&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Production Supervisor - Pharmacist,Hikma Pharmaceuticals,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/0OlolvOaGcfV-Production-Supervisor---Pharmacist-Hikma-Pharmaceuticals-Giza-Egypt?o=136&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Copywriting Specialist - English/Arabic,Confidential -,"New Cairo, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/Lk7IfPsG8y8m-Copywriting-Specialist---EnglishArabic-Cairo-Egypt?o=137&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Pharmacist - New Cairo,Dawaa Pharmacy,"New Cairo, Cairo, Egypt ",Shift based,https://wuzzuf.net/jobs/p/sXeISgAnCk8i-Pharmacist---New-Cairo-Dawaa-Pharmacy-Cairo-Egypt?o=138&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
IPC Officer - Sterile Area,Hikma Pharmaceuticals,"Badr City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/2LWzkpiAXRHA-IPC-Officer---Sterile-Area-Hikma-Pharmaceuticals-Cairo-Egypt?o=139&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Validation Unit Head,Rameda,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/Dyt7iXXM7XMY-Validation-Unit-Head-Rameda-Giza-Egypt?o=140&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Representative - Mohandsen/Doki,Dulex Lab,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/Xux6vqWxYRhk-Medical-Representative---MohandsenDoki-Dulex-Lab-Cairo-Egypt?o=141&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Purchasing Manager,Eldahan-co,"New Cairo, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/fiKtCYA2yV8S-Purchasing-Manager-Eldahan-co-Cairo-Egypt?o=142&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Toll Coordinator,Hi Pharm,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/0P5rOAJ2szHu-Toll-Coordinator-Hi-Pharm-Cairo-Egypt?o=143&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Pharmacist - Shift Manager,Dawaa Pharmacy,"New Cairo, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/rjH4YotMizdZ-Pharmacist---Shift-Manager-Dawaa-Pharmacy-Cairo-Egypt?o=144&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Quality Control Specialist,Delta Pharma Egypt,"10th of Ramadan City, Sharqia, Egypt ",Shift based,https://wuzzuf.net/jobs/p/7VfWi2WydAkF-Quality-Control-Specialist-Delta-Pharma-Egypt-Sharqia-Egypt?o=145&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Pharmacy Clinical Consultant,Dynamicslink,"Nasr City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/QlN0956oltCX-Pharmacy-Clinical-Consultant-Dynamicslink-Cairo-Egypt?o=146&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Supply Chain Manager,Majestic Pharmaceuticals,"New Cairo, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/3FEaPP4wOgUm-Supply-Chain-Manager-Majestic-Pharmaceuticals-Cairo-Egypt?o=147&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Quality Control Analyst - 6 October City,Hikma Pharmaceuticals,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/7Jt67TaChXQg-Quality-Control-Analyst---6-October-City-Hikma-Pharmaceuticals-Giza-Egypt?o=148&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Representative - Downtown,Splendid Pharma,"Downtown, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/aqI6Hynvc6xr-Medical-Representative---Downtown-Splendid-Pharma-Cairo-Egypt?o=149&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Representative - Imbaba,Splendid Pharma,"Imbaba, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/6wKmzYE66QrH-Medical-Representative---Imbaba-Splendid-Pharma-Giza-Egypt?o=150&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Representative - Sharqia,Delta Pharma Egypt,"Sharqia, Egypt ",Full time,https://wuzzuf.net/jobs/p/XqpKR87NLBID-Medical-Representative---Sharqia-Delta-Pharma-Egypt-Sharqia-Egypt?o=151&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Representative - Sohag,Delta Pharma Egypt,"Sohag, Egypt ",Full time,https://wuzzuf.net/jobs/p/G4WNpH9eUVWa-Medical-Representative---Sohag-Delta-Pharma-Egypt-Sohag-Egypt?o=152&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Representative - Tanta,Delta Pharma Egypt,"Gharbia, Egypt ",Full time,https://wuzzuf.net/jobs/p/USb52Q9dqWu1-Medical-Representative---Tanta-Delta-Pharma-Egypt-Gharbia-Egypt?o=153&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Representative - Minya,Delta Pharma Egypt,"Minya, Egypt ",Full time,https://wuzzuf.net/jobs/p/VYA75jdJLupj-Medical-Representative---Minya-Delta-Pharma-Egypt-Minya-Egypt?o=154&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Representative - Giza,Delta Pharma Egypt,"Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/6Ep01qo7FSJA-Medical-Representative---Giza-Delta-Pharma-Egypt-Giza-Egypt?o=155&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Representative - Cairo,Delta Pharma Egypt,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/KWSktFxbWsMz-Medical-Representative---Cairo-Delta-Pharma-Egypt-Cairo-Egypt?o=156&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Tender Representative - Mansoura,Delta Pharma Egypt,"Mansoura, Dakahlia, Egypt ",Full time,https://wuzzuf.net/jobs/p/grMeKi1032mp-Tender-Representative---Mansoura-Delta-Pharma-Egypt-Dakahlia-Egypt?o=157&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Regulatory Affairs Specialist,EVA Cosmetics ,"Downtown, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/QinTvlu2hzSH-Regulatory-Affairs-Specialist-EVA-Cosmetics-Cairo-Egypt?o=158&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
QA Senior Specialist ( Compliance And Validation ),EVA Cosmetics ,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/ytSvJjVDkmN6-QA-Senior-Specialist-Compliance-And-Validation-EVA-Cosmetics-Giza-Egypt?o=159&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Regulatory Affairs Specialist,W.I.S Pharm,"Maadi, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/GJ9QX2sVcYHI-Regulatory-Affairs-Specialist-W-I-S-Pharm-Cairo-Egypt?o=160&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Research And Development Specialist (Pharmacist),EVA Cosmetics ,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/gKkcayZhALcQ-Research-And-Development-Specialist-Pharmacist-EVA-Cosmetics-Giza-Egypt?o=161&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Quality Manager (Pharmacist Or Biochemist) - French Or German Language,Hatour Consulting,"Maadi, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/poVgS8zfBm0a-Quality-Manager-Pharmacist-Or-Biochemist---French-Or-German-Language-Hatour-Consulting-Cairo-Egypt?o=162&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Pharma Quality Specialist (Pharmacist Or Biochemist) - French Or German Language,Hatour Consulting,"Maadi, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/9jXhjr8Os2lX-Pharma-Quality-Specialist-Pharmacist-Or-Biochemist---French-Or-German-Language-Hatour-Consulting-Cairo-Egypt?o=163&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Regulatory Affairs & Partner Care Specialist,El Nahar for Medical Solutions,"Dokki, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/j1KRlE1cBkGG-Regulatory-Affairs-Partner-Care-Specialist-El-Nahar-for-Medical-Solutions-Giza-Egypt?o=164&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Senior Training & OD Specialist,Orchidia Pharmaceutical Industries,"Obour City, Cairo, Egypt ",Shift based,https://wuzzuf.net/jobs/p/10Z504vh13nO-Senior-Training-OD-Specialist-Orchidia-Pharmaceutical-Industries-Cairo-Egypt?o=165&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Project Coordinator,Hatour Consulting,"Maadi, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/GMwN8xqBMaAy-Project-Coordinator-Hatour-Consulting-Cairo-Egypt?o=166&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Registration Specialist,Atco Pharma For Pharmaceutical Industries,"Nasr City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/2I6PlvfTcaTp-Registration-Specialist-Atco-Pharma-For-Pharmaceutical-Industries-Cairo-Egypt?o=167&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Devices Sales Representative-Cairo,Reap Solutions,"New Cairo, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/jdjcYvfonBrh-Medical-Devices-Sales-Representative-Cairo-Reap-Solutions-Cairo-Egypt?o=168&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Pharmacy Chain Specialist - OTC,dkt Egypt,"Downtown, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/lizaPyZVWA0w-Pharmacy-Chain-Specialist---OTC-dkt-Egypt-Cairo-Egypt?o=169&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Tenders Representative - Cairo,Pharaonia Pharma,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/IifyAmNkeBPe-Tenders-Representative---Cairo-Pharaonia-Pharma-Cairo-Egypt?o=170&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Group Marketing Director,Confidential -,"Maadi, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/5YQVEqiqpnTK-Group-Marketing-Director-Cairo-Egypt?o=171&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Representative,Alborg Lab and Alborg Scan,"Shubra, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/oWMK5UrfSSq6-Medical-Representative-Alborg-Lab-and-Alborg-Scan-Cairo-Egypt?o=172&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Production Senior Specialist,EVA Cosmetics ,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/xN7zBnjt60Sv-Production-Senior-Specialist-EVA-Cosmetics-Giza-Egypt?o=173&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Utilities Engineering Section Head,EVA Cosmetics ,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/ulFpY8arw1s5-Utilities-Engineering-Section-Head-EVA-Cosmetics-Giza-Egypt?o=174&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Pharmacist Call Center Agent,Confidential -,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/mr8oZPCdulL9-Pharmacist-Call-Center-Agent-Cairo-Egypt?o=175&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
QA Senior Documentation Specialist,Al Andalous Pharmaceutical Industries,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/BPPrCTvfIQQk-QA-Senior-Documentation-Specialist-Al-Andalous-Pharmaceutical-Industries-Giza-Egypt?o=176&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Sales Supervisor - Cosmetics - Alexandria,Acadia Pharma,"Alexandria, Egypt ",Full time,https://wuzzuf.net/jobs/p/08svEE2UNmvz-Sales-Supervisor---Cosmetics---Alexandria-Acadia-Pharma-Alexandria-Egypt?o=177&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Sales Supervisor - Cosmetics - Upper Egypt,Acadia Pharma,"Assiut, Egypt ",Full time,https://wuzzuf.net/jobs/p/0Vz49grItmoc-Sales-Supervisor---Cosmetics---Upper-Egypt-Acadia-Pharma-Assiut-Egypt?o=178&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Sales Supervisor - Cosmetics - Delta,Acadia Pharma,"Dakahlia, Egypt ",Full time,https://wuzzuf.net/jobs/p/FcKiwuBgEgEZ-Sales-Supervisor---Cosmetics---Delta-Acadia-Pharma-Dakahlia-Egypt?o=179&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Sales Supervisor - Cosmetics - Cairo,Acadia Pharma,"New Cairo, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/PRbidIgVRZZc-Sales-Supervisor---Cosmetics---Cairo-Acadia-Pharma-Cairo-Egypt?o=180&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
R&D - Analytical Research Supervisor,Hikma Pharmaceuticals,"Badr City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/0tysDXLlnRzz-RD---Analytical-Research-Supervisor-Hikma-Pharmaceuticals-Cairo-Egypt?o=181&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Custom Clearance Supervisor,Al Andalous Pharmaceutical Industries,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/nfI9F1JmpHui-Custom-Clearance-Supervisor-Al-Andalous-Pharmaceutical-Industries-Giza-Egypt?o=182&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
QC Analyst - Badr City,Hikma Pharmaceuticals,"Badr City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/S82ia8Vks1qe-QC-Analyst---Badr-City-Hikma-Pharmaceuticals-Cairo-Egypt?o=183&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Sales Representative - Cairo,ABS,"New Cairo, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/kmRQ6QaC8aN9-Sales-Representative---Cairo-ABS-Cairo-Egypt?o=184&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Sales Representative,ABS,"New Cairo, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/HoCUyz6lr8Ik-Sales-Representative-ABS-Cairo-Egypt?o=185&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Office Manager,Health Line Group,"Mohandessin, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/6TjxelMchzC5-Office-Manager-Health-Line-Group-Giza-Egypt?o=186&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
QC - Microbiologist,Hikma Pharmaceuticals,"Badr City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/m0LF9U9bgTgO-QC---Microbiologist-Hikma-Pharmaceuticals-Cairo-Egypt?o=187&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Specialist (Research) - Alexandria,Caduceus Lane,"Alexandria, Egypt ",Full time,https://wuzzuf.net/jobs/p/2pvZm16FKOxM-Medical-Specialist-Research---Alexandria-Caduceus-Lane-Alexandria-Egypt?o=188&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
OD Supervisor,Orchidia Pharmaceutical Industries,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/4DIKPlOrr08w-OD-Supervisor-Orchidia-Pharmaceutical-Industries-Cairo-Egypt?o=189&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Senior Sales Rep.,Confidential -,"Mohandessin, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/iHuo0nOwxnyd-Medical-Senior-Sales-Rep-Giza-Egypt?o=190&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Validation Supervisor - Badr City,Hikma Pharmaceuticals,"Badr City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/7FpZPBS7XCFn-Validation-Supervisor---Badr-City-Hikma-Pharmaceuticals-Cairo-Egypt?o=191&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Infection Control Specialist,Saudi German Hospital ,"New Nozha, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/L89M88FnyF0k-Infection-Control-Specialist-Saudi-German-Hospital-Cairo-Egypt?o=192&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Representative - Internship,Parkville Pharmaceuticals,"Giza, Egypt ",Internship,https://wuzzuf.net/jobs/p/gWtvQcKCWtdH-Medical-Representative---Internship-Parkville-Pharmaceuticals-Giza-Egypt?o=193&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Admin Assistant,Orchidia Pharmaceutical Industries,"Obour City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/YADw6s1WIRr2-Admin-Assistant-Orchidia-Pharmaceutical-Industries-Cairo-Egypt?o=194&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
