Job title ,Hiring Company,Comapny Address,Shift,Links
Sales Pharmacist,EL Okaby Compounding Pharmacies,"Nasr City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/lZ3Z1gYdHdOW-Sales-Pharmacist-EL-Okaby-Compounding-Pharmacies-Cairo-Egypt?o=20&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Telesales Area Manager Pharmacist - Cairo/Delta /Giza,Pharma Overseas,"Damanhour, Beheira, Egypt ",Full time,https://wuzzuf.net/jobs/p/yq8ma0v2kXsF-Telesales-Area-Manager-Pharmacist---CairoDelta-Giza-Pharma-Overseas-Beheira-Egypt?o=21&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Pharmacist - Shift Manager,Dawaa Pharmacy,"New Cairo, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/rjH4YotMizdZ-Pharmacist---Shift-Manager-Dawaa-Pharmacy-Cairo-Egypt?o=22&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Pharmacist Assistant,Dawaa Pharmacy,"New Cairo, Cairo, Egypt ",Shift based,https://wuzzuf.net/jobs/p/K63W4jwHLYoJ-Pharmacist-Assistant-Dawaa-Pharmacy-Cairo-Egypt?o=23&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Production Supervisor - Pharmacist,Hikma Pharmaceuticals,"6th of October, Giza, Egypt ",Shift based,https://wuzzuf.net/jobs/p/0OlolvOaGcfV-Production-Supervisor---Pharmacist-Hikma-Pharmaceuticals-Giza-Egypt?o=24&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Pharmacist - New Cairo,Dawaa Pharmacy,"New Cairo, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/sXeISgAnCk8i-Pharmacist---New-Cairo-Dawaa-Pharmacy-Cairo-Egypt?o=25&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Medical Representative,Paxton LLC,"Cairo, Egypt ",Shift based,https://wuzzuf.net/jobs/p/NSjLsjUzS1YY-Medical-Representative-Paxton-LLC-Cairo-Egypt?o=26&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Medical Digitization Officer Cairo,Digital Bridges,"Maadi, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/NgeqFneniJkC-Medical-Digitization-Officer-Cairo-Digital-Bridges-Cairo-Egypt?o=27&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Pharmacist Call Center Agent,GlobeMed Egypt,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/abJXXcMTMz0D-Pharmacist-Call-Center-Agent-GlobeMed-Egypt-Cairo-Egypt?o=28&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Research And Development Specialist (Pharmacist),EVA Cosmetics ,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/gKkcayZhALcQ-Research-And-Development-Specialist-Pharmacist-EVA-Cosmetics-Giza-Egypt?o=29&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Quality Manager (Pharmacist Or Biochemist) - French Or German Language,Hatour Consulting,"Maadi, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/poVgS8zfBm0a-Quality-Manager-Pharmacist-Or-Biochemist---French-Or-German-Language-Hatour-Consulting-Cairo-Egypt?o=30&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Pharma Quality Specialist (Pharmacist Or Biochemist) - French Or German Language,Hatour Consulting,"Maadi, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/9jXhjr8Os2lX-Pharma-Quality-Specialist-Pharmacist-Or-Biochemist---French-Or-German-Language-Hatour-Consulting-Cairo-Egypt?o=31&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Medical Representative,Andalusia Group,"Maadi, Cairo, Egypt ",Part time,https://wuzzuf.net/jobs/p/aGqtxMYiC6te-Medical-Representative-Andalusia-Group-Cairo-Egypt?o=32&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Marketing Head,Confidential -,"Maadi, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/Btg0aNbzsEhq-Marketing-Head-Cairo-Egypt?o=33&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Medical Sales Representative Cairo,Distinguished Medical World Medical Group,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/OImCWIcYQdfh-Medical-Sales-Representative-Cairo-Distinguished-Medical-World-Medical-Group-Cairo-Egypt?o=34&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Senior Sales Representative,Confidential -,"Mohandessin, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/SjWSPBUKR3m5-Senior-Sales-Representative-Giza-Egypt?o=35&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Pharmacist Call Center Agent,Confidential -,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/mr8oZPCdulL9-Pharmacist-Call-Center-Agent-Cairo-Egypt?o=36&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Medical Devices Sales Representative - Giza,Confidential -,"Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/hiFyOYQFgIaV-Medical-Devices-Sales-Representative---Giza-Giza-Egypt?o=37&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
