Job title ,Hiring Company,Comapny Address,Shift,Links
Senior Data Analyst / Business Intelligence,New Horizons,"Maadi, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/FApkISKtUt0u-Senior-Data-Analyst-Business-Intelligence-New-Horizons-Cairo-Egypt?o=21&l=sp&t=sj&a=data science|search-v3|hpb|spbg
IT Manager,Paradise Inn Hotels & Resorts,"Mahta Alraml, Alexandria, Egypt ",Full time,https://wuzzuf.net/jobs/p/8K9iXAr11zM2-IT-Manager-Paradise-Inn-Hotels-Resorts-Alexandria-Egypt?o=22&l=sp&t=sj&a=data science|search-v3|hpb|spbg
Medical Manager- Alexandria,Caduceus Lane,"Alexandria, Egypt ",Full time,https://wuzzuf.net/jobs/p/HZOnML38qpwE-Medical-Manager--Alexandria-Caduceus-Lane-Alexandria-Egypt?o=23&l=sp&t=sj&a=data science|search-v3|hpb|spbg
"Senior Java Developer ""Back End""",Silicon Egypt,"Nasr City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/eycEkP0TEtye-Senior-Java-Developer-Back-End-Silicon-Egypt-Cairo-Egypt?o=24&l=sp&t=sj&a=data science|search-v3|hpb|spbg
Senior Database Administrator,Silicon Egypt,"Nasr City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/Ztn2ALynx5iz-Senior-Database-Administrator-Silicon-Egypt-Cairo-Egypt?o=25&l=sp&t=sj&a=data science|search-v3|hpb|spbg
Senior ASP.Net Developer,Microtech,"Dokki, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/ShB27YZZ5sZL-Senior-ASPNet-Developer-Microtech-Giza-Egypt?o=26&l=sp&t=sj&a=data science|search-v3|hpb|spbg
Java Technical Lead,KnowledgeNet,"Nasr City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/NjhZCyYxSjbr-Java-Technical-Lead-KnowledgeNet-Cairo-Egypt?o=27&l=sp&t=sj&a=data science|search-v3|hpb|spbg
Database Admin,MUST,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/f84njNcQKYlz-Database-Admin-MUST-Giza-Egypt?o=28&l=sp&t=sj&a=data science|search-v3|hpb|spbg
Full Stack Developer - Angular & Java (R&D).,Cegedim,"New Cairo, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/DhJ5X9aRvGPQ-Full-Stack-Developer---Angular-Java-RD-Cegedim-Cairo-Egypt?o=29&l=sp&t=sj&a=data science|search-v3|hpb|spbg
Senior Sales Account Manager,Compuroots,"Nasr City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/udF4Pp7I5C8g-Senior-Sales-Account-Manager-Compuroots-Cairo-Egypt?o=30&l=sp&t=sj&a=data science|search-v3|hpb|spbg
